Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4657,Star Wars The Clone Wars: Republic Heroes,psp,2009.0,action,lucasarts,0.21,0.13,0.0,0.08,0.42
4658,NBA 2K11,psp,2010.0,action,take-two interactive,0.39,0.0,0.0,0.03,0.42
4659,Animal Crossing: Amiibo Festival,wiiu,2015.0,misc,nintendo,0.19,0.11,0.09,0.03,0.42
4660,Hyrule Warriors,3ds,2016.0,action,nintendo,0.16,0.12,0.11,0.03,0.42
4661,Harry Potter and the Deathly Hallows - Part 1,ps3,2010.0,action,electronic arts,0.13,0.21,0.0,0.08,0.42
4662,Fishing Resort,wii,2011.0,sports,namco bandai games,0.16,0.0,0.25,0.01,0.42
4663,WWE All Stars,ps3,2011.0,fighting,thq,0.16,0.18,0.0,0.07,0.42
4664,Lord of the Rings: The Third Age,xb,2004.0,role-playing,electronic arts,0.31,0.09,0.0,0.01,0.42
4665,Football Manager Handheld 2011,psp,2010.0,sports,sega,0.0,0.28,0.0,0.14,0.42
4666,Pirates of the Caribbean: At World's End,ps2,2007.0,action,disney interactive studios,0.2,0.16,0.0,0.05,0.42
4667,Mega Man Legends 2,ps,2000.0,adventure,capcom,0.17,0.12,0.1,0.03,0.42
4668,X-Men vs. Street Fighter,ps,1997.0,fighting,capcom,0.16,0.11,0.12,0.03,0.42
4669,High Rollers Casino,ps2,2004.0,misc,mud duck productions,0.2,0.16,0.0,0.05,0.42
4670,Castlevania: The Dracula X Chronicles,psp,2007.0,platform,konami digital entertainment,0.22,0.09,0.04,0.07,0.42
4671,The Suffering,ps2,2004.0,action,midway games,0.2,0.16,0.0,0.05,0.42
4672,Cyber Troopers Virtual-On,sat,1995.0,fighting,sega,0.0,0.0,0.42,0.0,0.42
4673,Katamari Forever,ps3,2009.0,puzzle,namco bandai games,0.26,0.05,0.06,0.04,0.42
4674,Star Wars Starfighter: Special Edition,xb,2001.0,simulation,lucasarts,0.3,0.1,0.0,0.02,0.42
4675,TimeShift,x360,2007.0,shooter,vivendi games,0.36,0.02,0.0,0.03,0.41
4676,NBA Jam,ps2,2003.0,sports,acclaim entertainment,0.2,0.16,0.0,0.05,0.41
4677,Zone of the Enders: The 2nd Runner,ps2,2003.0,simulation,konami digital entertainment,0.15,0.12,0.11,0.04,0.41
4678,Ghostbusters: The Video Game,ds,2009.0,action,atari,0.26,0.12,0.0,0.04,0.41
4679,Attack on Titan: Humanity in Chains,3ds,2013.0,action,screenlife,0.0,0.0,0.41,0.0,0.41
4680,Jampack Spring 2004 (RP-T),ps2,2003.0,misc,sony computer entertainment,0.2,0.16,0.0,0.05,0.41
4681,Dexter's Laboratory Deesaster Strikes,gba,2001.0,adventure,bam! entertainment,0.3,0.11,0.0,0.01,0.41
4682,NFL GameDay 2004,ps2,2003.0,sports,sony computer entertainment,0.2,0.16,0.0,0.05,0.41
4683,Scooby-Doo and the Cyber Chase,gba,2001.0,adventure,ubisoft,0.3,0.11,0.0,0.01,0.41
4684,Danganronpa: Trigger Happy Havoc,psv,2013.0,misc,nippon ichi software,0.14,0.07,0.15,0.06,0.41
4685,TERA,pc,2009.0,role-playing,unknown,0.24,0.12,0.0,0.05,0.41
4686,Tomb Raider: The Last Revelation,pc,1998.0,action,eidos interactive,0.41,0.0,0.0,0.0,0.41
4687,pro evolution soccer 2011,ps2,2010.0,sports,konami digital entertainment,0.04,0.21,0.05,0.11,0.41
4688,Sega Rally Championship 2,dc,1999.0,racing,sega,0.0,0.0,0.41,0.0,0.41
4689,Quake II,ps,1998.0,shooter,activision,0.23,0.16,0.0,0.03,0.41
4690,Crash of the Titans,ps2,2007.0,action,vivendi games,0.34,0.01,0.0,0.06,0.41
4691,BioShock,pc,2007.0,shooter,take-two interactive,0.01,0.39,0.0,0.02,0.41
4692,Cars: Mater-National Championship,ps3,2007.0,racing,thq,0.37,0.01,0.0,0.03,0.41
4693,MLB 10: The Show,ps2,2010.0,sports,sony computer entertainment,0.2,0.16,0.0,0.05,0.41
4694,Wheel of Fortune: 2nd Edition,ps,2000.0,misc,hasbro interactive,0.23,0.16,0.0,0.03,0.41
4695,Tom Clancy's Rainbow Six: Lockdown,xb,2005.0,shooter,ubisoft,0.26,0.13,0.0,0.02,0.41
4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,psp,2009.0,fighting,namco bandai games,0.0,0.0,0.41,0.0,0.41
4697,Cool Boarders 2001,ps,2000.0,sports,sony computer entertainment,0.23,0.16,0.0,0.03,0.41
4698,Grudge Warriors,ps,1999.0,action,take-two interactive,0.23,0.16,0.0,0.03,0.41
4699,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,ps,2000.0,sports,konami digital entertainment,0.0,0.0,0.39,0.03,0.41
4700,Destiny: The Taken King,ps3,2015.0,shooter,activision,0.16,0.17,0.02,0.06,0.41
4701,Mobile Suit Gundam,sat,1995.0,action,namco bandai games,0.0,0.0,0.41,0.0,0.41
4702,Mass Effect Trilogy,x360,2012.0,action,electronic arts,0.28,0.1,0.0,0.03,0.41
4703,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",psp,2009.0,shooter,activision,0.17,0.15,0.0,0.09,0.41
4704,Wolfenstein: The New Order,x360,2014.0,shooter,bethesda softworks,0.18,0.19,0.0,0.04,0.41
4705,James Patterson Women's Murder Club: Games of Passion,ds,2009.0,adventure,thq,0.15,0.22,0.0,0.05,0.41
4706,Farming Simulator 2015,x360,2015.0,simulation,koch media,0.21,0.16,0.0,0.04,0.41
4707,Jimmy Neutron: Boy Genius,ps2,2002.0,platform,thq,0.2,0.16,0.0,0.05,0.41
4708,Itadaki Street DS,ds,2007.0,misc,square enix,0.0,0.0,0.41,0.0,0.41
4709,Castlevania: Order of Ecclesia,ds,2008.0,platform,konami digital entertainment,0.31,0.03,0.04,0.03,0.41
4710,BlazBlue: Continuum Shift,ps3,2010.0,fighting,pqube,0.21,0.08,0.09,0.04,0.41
4711,X-Men: The Official Game,ps2,2006.0,action,activision,0.2,0.16,0.0,0.05,0.41
4712,300: March to Glory,psp,2007.0,action,warner bros. interactive entertainment,0.27,0.08,0.0,0.06,0.41
4713,E0: Enemy Zero,sat,1996.0,adventure,sega,0.0,0.0,0.41,0.0,0.41
4714,Nicktoons: Unite!,ps2,2005.0,adventure,thq,0.34,0.01,0.0,0.06,0.41
4715,Six Flags Fun Park,wii,2009.0,misc,ubisoft,0.28,0.1,0.0,0.04,0.41
4716,Spore Hero,wii,2009.0,simulation,electronic arts,0.36,0.03,0.0,0.03,0.41
4717,Mass Effect Trilogy,ps3,2012.0,action,electronic arts,0.37,0.0,0.0,0.04,0.41
4718,NASCAR Racing,ps,1996.0,racing,pioneer ldc,0.23,0.16,0.0,0.03,0.41
4719,LEGO Jurassic World,psv,2015.0,action,warner bros. interactive entertainment,0.09,0.23,0.0,0.09,0.41
4720,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,wii,2009.0,misc,hudson soft,0.0,0.0,0.41,0.0,0.41
4721,Up,psp,2009.0,action,thq,0.24,0.1,0.0,0.07,0.41
4722,Spider-Man: Web of Shadows,x360,2008.0,action,activision,0.36,0.02,0.0,0.03,0.41
4723,Boku no Natsuyasumi 2: Umi no Bouken Hen,ps2,2002.0,adventure,sony computer entertainment,0.0,0.0,0.41,0.0,0.41
4724,SpongeBob SquigglePants,wii,2011.0,misc,thq,0.36,0.03,0.0,0.03,0.41
4725,Cars: Race-O-Rama,psp,2009.0,racing,thq,0.29,0.07,0.0,0.06,0.41
4726,Fantastic Pets,x360,2011.0,simulation,thq,0.3,0.08,0.0,0.03,0.41
4727,Command & Conquer: Red Alert,ps,1997.0,strategy,virgin interactive,0.23,0.16,0.0,0.03,0.41
4728,Star Wars The Clone Wars: Republic Heroes,ds,2009.0,action,lucasarts,0.23,0.14,0.0,0.04,0.41
4729,Dig Dug,nes,1985.0,puzzle,namco bandai games,0.0,0.0,0.41,0.0,0.41
4730,Ogre Battle 64: Person of Lordly Caliber,n64,1999.0,role-playing,nintendo,0.1,0.02,0.25,0.04,0.41
4731,Superman: The New Superman Adventures,n64,1999.0,action,titus,0.33,0.07,0.0,0.0,0.41
4732,UEFA Euro 2008 Austria-Switzerland,ps3,2008.0,sports,electronic arts,0.08,0.27,0.0,0.06,0.41
4733,The Terminator: Dawn of Fate,ps2,2002.0,action,atari,0.2,0.16,0.0,0.05,0.41
4734,The LEGO Movie Videogame,psv,2014.0,action,warner bros. interactive entertainment,0.05,0.26,0.0,0.09,0.41
4735,Rogue Galaxy: Director's Cut,ps2,2007.0,role-playing,sony computer entertainment,0.2,0.16,0.0,0.05,0.41
4736,Armored Core,ps,1997.0,simulation,sony computer entertainment,0.13,0.09,0.16,0.03,0.41
4737,Monster Trucks Mayhem,wii,2009.0,racing,zoo games,0.39,0.0,0.0,0.02,0.41
4738,Winter Sports 2: The Next Challenge,wii,2008.0,sports,rtl,0.18,0.19,0.0,0.04,0.41
4739,Green Day: Rock Band,x360,2010.0,misc,mtv games,0.24,0.13,0.0,0.04,0.41
4740,Densha De Go! 2,ps,1999.0,simulation,taito,0.0,0.0,0.38,0.03,0.41
4741,Transformers: Fall of Cybertron,ps3,2012.0,action,activision,0.19,0.15,0.0,0.07,0.41
4742,Call of Duty: Advanced Warfare,pc,2014.0,shooter,activision,0.14,0.23,0.0,0.04,0.41
4743,Disney Princess: Enchanting Storybooks,wii,2011.0,misc,thq,0.26,0.11,0.0,0.04,0.41
4744,Monopoly Streets,ps3,2010.0,misc,electronic arts,0.16,0.18,0.0,0.07,0.41
4745,Band Hero,ps2,2009.0,misc,activision,0.15,0.06,0.0,0.2,0.41
4746,The Wonderful 101,wiiu,2013.0,action,nintendo,0.2,0.1,0.08,0.03,0.41
4747,No More Heroes 2: Desperate Struggle,wii,2010.0,action,rising star games,0.21,0.12,0.04,0.03,0.41
4748,Battlefield 2: Modern Combat,x360,2006.0,shooter,electronic arts,0.35,0.02,0.01,0.03,0.41
4749,Armored Core 2: Another Age,ps2,2001.0,simulation,metro 3d,0.11,0.08,0.19,0.03,0.41
4750,Buzz! Junior: Jungle Party,ps2,2006.0,misc,sony computer entertainment,0.2,0.16,0.0,0.05,0.41
4751,Mortal Kombat: Deadly Alliance,gc,2002.0,fighting,midway games,0.31,0.08,0.0,0.01,0.41
4752,Marvel: Ultimate Alliance,wii,2006.0,role-playing,activision,0.37,0.01,0.0,0.03,0.41
4753,NBA 2K11,ps2,2010.0,action,take-two interactive,0.34,0.01,0.0,0.06,0.41
4754,AKB1/48: Idol to Koishitara...,psp,2010.0,misc,namco bandai games,0.0,0.0,0.41,0.0,0.41
4755,Pro Pinball,ps,1996.0,misc,empire interactive,0.23,0.15,0.0,0.03,0.41
4756,'98 Koshien,ps,1998.0,sports,magical company,0.15,0.1,0.12,0.03,0.41
4757,NBA 2K9,ps2,2008.0,sports,take-two interactive,0.34,0.01,0.0,0.06,0.41
4758,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),gba,2001.0,misc,konami digital entertainment,0.0,0.0,0.4,0.01,0.41
4759,Speed Racer: The Videogame,wii,2008.0,racing,warner bros. interactive entertainment,0.36,0.02,0.0,0.03,0.41
4760,Naughty Bear,x360,2010.0,action,505 games,0.21,0.16,0.0,0.04,0.41
4761,Littlest Pet Shop,wii,2008.0,simulation,electronic arts,0.34,0.04,0.0,0.03,0.41
4762,TNA iMPACT!,ps3,2008.0,fighting,midway games,0.22,0.12,0.0,0.06,0.41
4763,Just Dance Kids 2,x360,2011.0,misc,ubisoft,0.29,0.09,0.0,0.03,0.41
4764,Duke Nukem Forever,pc,2011.0,shooter,take-two interactive,0.18,0.17,0.0,0.06,0.41
4765,Hatsune Miku: Project Diva 2nd,psp,2010.0,misc,sega,0.0,0.0,0.41,0.0,0.41
4766,Marvel: Ultimate Alliance 2,ps2,2009.0,role-playing,activision,0.23,0.02,0.0,0.16,0.41
4767,Mario no Super Picross,snes,1995.0,puzzle,nintendo,0.0,0.0,0.41,0.0,0.41
4768,"Ed, Edd n Eddy: The Mis-Edventures",ps2,2005.0,platform,midway games,0.34,0.01,0.0,0.06,0.41
4769,Jikkyou Powerful Pro Yakuu '94,snes,1994.0,sports,konami digital entertainment,0.0,0.0,0.41,0.0,0.41
4770,Disney's Tarzan Untamed,ps2,2001.0,platform,ubisoft,0.2,0.16,0.0,0.05,0.41
4771,Borderlands: The Handsome Collection,xone,2015.0,shooter,take-two interactive,0.24,0.13,0.0,0.04,0.41
4772,The Gunstringer,x360,2011.0,shooter,microsoft game studios,0.26,0.11,0.0,0.04,0.41
4773,Knockout Kings 2001,ps,2000.0,fighting,electronic arts,0.23,0.15,0.0,0.03,0.41
4774,From Russia With Love,ps2,2005.0,action,electronic arts,0.34,0.01,0.0,0.06,0.41
4775,FIFA Soccer 13,pc,2012.0,action,electronic arts,0.02,0.31,0.0,0.07,0.41
4776,Asura's Wrath,ps3,2012.0,action,capcom,0.18,0.12,0.06,0.05,0.41
4777,Avatar: The Game,ds,2009.0,action,ubisoft,0.19,0.18,0.0,0.04,0.41
4778,My Virtual Tutor: Reading Adventure First to Second Grade,ds,2009.0,misc,mentor interactive,0.38,0.0,0.0,0.03,0.41
4779,Minority Report: Everybody Runs,ps2,2002.0,action,activision,0.2,0.15,0.0,0.05,0.41
4780,Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,ps,2003.0,misc,sony computer entertainment,0.23,0.15,0.0,0.03,0.4
4781,NFL GameDay 2002,ps,2001.0,sports,sony computer entertainment,0.23,0.15,0.0,0.03,0.4
4782,Pengo,2600,1983.0,adventure,atari,0.38,0.02,0.0,0.0,0.4
4783,Disney Sing It! High School Musical 3: Senior Year,ps3,2008.0,misc,disney interactive studios,0.08,0.26,0.0,0.07,0.4
4784,Story of Seasons,3ds,2014.0,simulation,nintendo,0.0,0.13,0.26,0.01,0.4
4785,Beowulf: The Game,x360,2007.0,action,ubisoft,0.36,0.01,0.0,0.03,0.4
4786,Mouse Trap,2600,1981.0,action,coleco,0.38,0.02,0.0,0.0,0.4
4787,Super Monkey Ball: Step & Roll,wii,2010.0,action,sega,0.17,0.2,0.0,0.04,0.4
4788,Hatsune Miku: Project Diva F 2nd,psv,2014.0,misc,sega,0.13,0.06,0.16,0.06,0.4
4789,Overlord,x360,2007.0,strategy,codemasters,0.34,0.03,0.01,0.03,0.4
4790,Tak and the Power of Juju,gc,2003.0,platform,thq,0.31,0.08,0.0,0.01,0.4
4791,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",ps3,2007.0,action,activision,0.32,0.04,0.01,0.04,0.4
4792,Sega Superstars Tennis,ps3,2008.0,sports,sega,0.13,0.2,0.0,0.08,0.4
4793,LEGO Harry Potter: Years 5-7,3ds,2009.0,action,warner bros. interactive entertainment,0.18,0.19,0.0,0.04,0.4
4794,Dragon Quest X,wiiu,2013.0,role-playing,square enix,0.0,0.0,0.4,0.0,0.4
4795,Wall-E,ps3,2008.0,platform,thq,0.12,0.21,0.0,0.08,0.4
4796,Medarot: Kabuto / Kuwagata Version,gb,1997.0,role-playing,imagineer,0.0,0.0,0.4,0.0,0.4
4797,NBA 2K10,ps2,2009.0,sports,take-two interactive,0.33,0.01,0.0,0.05,0.4
4798,Defender,ps2,2002.0,misc,midway games,0.2,0.15,0.0,0.05,0.4
4799,NFL GameDay 2003,ps2,2009.0,sports,unknown,0.2,0.15,0.0,0.05,0.4
4800,WipeOut 3 The Game,wii,2012.0,action,activision,0.38,0.0,0.0,0.03,0.4
4801,Taiko no Tatsujin Wii: Dodon to 2 Yome!,wii,2009.0,misc,namco bandai games,0.0,0.0,0.4,0.0,0.4
4802,Thief (2014),ps3,2014.0,action,square enix,0.1,0.2,0.02,0.08,0.4
4803,Congo Bongo,2600,1982.0,action,sega,0.37,0.02,0.0,0.0,0.4
4804,Gauntlet: Seven Sorrows,ps2,2005.0,role-playing,midway games,0.2,0.15,0.0,0.05,0.4
4805,Harry Potter: Quidditch World Cup,gc,2003.0,sports,electronic arts,0.31,0.08,0.0,0.01,0.4
4806,Advance Wars: Dual Strike,ds,2005.0,strategy,nintendo,0.3,0.03,0.04,0.03,0.4
4807,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,ds,2009.0,action,konami digital entertainment,0.27,0.01,0.09,0.03,0.4
4808,Warriors Orochi 2 (JP sales),ps2,2008.0,action,tecmo koei,0.0,0.0,0.4,0.0,0.4
4809,WWE SmackDown! vs. RAW 2006,psp,2005.0,fighting,thq,0.36,0.01,0.0,0.03,0.4
4810,The Chronicles of Narnia: Prince Caspian,ps2,2008.0,action,disney interactive studios,0.2,0.15,0.0,0.05,0.4
4811,The Incredibles: Rise of the Underminer,gba,2005.0,action,thq,0.29,0.11,0.0,0.01,0.4
4812,Pet in TV,ps,1997.0,strategy,sony computer entertainment,0.0,0.0,0.38,0.03,0.4
4813,Battalion Wars,gc,2005.0,strategy,nintendo,0.25,0.07,0.07,0.01,0.4
4814,NBA ShootOut 2000,ps,1999.0,sports,989 studios,0.22,0.15,0.0,0.03,0.4
4815,Power Rangers: Dino Thunder,gc,2004.0,action,thq,0.31,0.08,0.0,0.01,0.4
4816,Rocksmith 2014,xone,2014.0,misc,ubisoft,0.29,0.08,0.0,0.04,0.4
4817,Samurai Shodown,snes,1994.0,fighting,takara,0.0,0.0,0.4,0.0,0.4
4818,NHL 15,xone,2014.0,sports,electronic arts,0.31,0.06,0.0,0.03,0.4
4819,TMNT,wii,2007.0,action,ubisoft,0.34,0.03,0.0,0.03,0.4
4820,Final Fantasy Crystal Chronicles: The Crystal Bearers,wii,2009.0,action,square enix,0.22,0.08,0.08,0.03,0.4
4821,Cabela's Big Game Hunter 2010,ps3,2009.0,sports,activision value,0.37,0.0,0.0,0.03,0.4
4822,EA Sports UFC 2,xone,2016.0,sports,electronic arts,0.23,0.14,0.0,0.04,0.4
4823,Fighting Vipers,sat,1995.0,fighting,sega,0.0,0.0,0.4,0.0,0.4
4824,NCAA GameBreaker 2000,ps,1999.0,sports,989 studios,0.22,0.15,0.0,0.03,0.4
4825,Iron Man 2,ps3,2010.0,action,sega,0.14,0.19,0.0,0.07,0.4
4826,The Legend of Spyro: Dawn of the Dragon,ps2,2008.0,platform,vivendi games,0.12,0.01,0.0,0.27,0.4
4827,AKB1/48: Idol to Guam de Koishitara...,psp,2011.0,misc,namco bandai games,0.0,0.0,0.4,0.0,0.4
4828,RR64: Ridge Racer 64,n64,1999.0,racing,nintendo,0.32,0.07,0.0,0.0,0.4
4829,Top Gear Rally,n64,1997.0,racing,kemco,0.32,0.07,0.0,0.0,0.4
4830,NFL Quarterback Club 2000,n64,1999.0,sports,acclaim entertainment,0.37,0.03,0.0,0.0,0.4
4831,Mortal Kombat Mythologies: Sub-Zero,n64,1997.0,fighting,midway games,0.32,0.07,0.0,0.0,0.4
4832,18 Wheeler: American Pro Trucker,ps2,2001.0,racing,acclaim entertainment,0.2,0.15,0.0,0.05,0.4
4833,Atari Anthology,ps2,2004.0,misc,atari,0.33,0.01,0.0,0.05,0.4
4834,Bugs Bunny: Lost in Time,ps,1999.0,platform,infogrames,0.22,0.15,0.0,0.03,0.4
4835,NBA Jam,x360,2010.0,sports,electronic arts,0.27,0.1,0.0,0.03,0.4
4836,Sherlock Holmes: The Mystery of the Mummy,ds,2009.0,adventure,focus home interactive,0.06,0.3,0.0,0.04,0.4
4837,Hot Wheels: Beat That!,ps2,2007.0,racing,activision,0.2,0.15,0.0,0.05,0.4
4838,MLB 2006,ps2,2005.0,sports,sony computer entertainment,0.33,0.01,0.0,0.05,0.4
4839,Star Wars The Clone Wars: Republic Heroes,x360,2009.0,action,lucasarts,0.18,0.17,0.0,0.04,0.4
4840,Brunswick Pro Bowling,ps2,2007.0,sports,505 games,0.2,0.15,0.0,0.05,0.4
4841,Mafia II,pc,2010.0,action,take-two interactive,0.17,0.17,0.0,0.06,0.4
4842,Rocket Power: Dream Scheme,gba,2001.0,action,thq,0.29,0.11,0.0,0.01,0.4
4843,SpongeBob's Truth or Square (US sales),wii,2009.0,action,thq,0.38,0.01,0.0,0.0,0.4
4844,MX vs. ATV Unleashed,xb,2005.0,racing,thq,0.32,0.07,0.0,0.01,0.4
4845,Rampage: Total Destruction,gc,2006.0,action,midway games,0.31,0.08,0.0,0.01,0.4
4846,Planet 51,ds,2009.0,action,sega,0.22,0.14,0.0,0.04,0.4
4847,The Urbz: Sims in the City,gc,2004.0,simulation,electronic arts,0.24,0.14,0.0,0.02,0.4
4848,Road Rash: Jailbreak,ps,1999.0,racing,electronic arts,0.22,0.15,0.0,0.03,0.4
4849,Mother 3,gba,2006.0,role-playing,nintendo,0.0,0.0,0.39,0.01,0.4
4850,Nicktoons: Freeze Frame Frenzy,gba,2004.0,action,thq,0.29,0.11,0.0,0.01,0.4
4851,Diner Dash: Sizzle & Serve,ds,2007.0,puzzle,eidos interactive,0.34,0.03,0.0,0.03,0.4
4852,Rapala Pro Bass Fishing 2010,x360,2010.0,sports,activision,0.32,0.05,0.0,0.03,0.4
4853,Legends of WrestleMania,x360,2009.0,fighting,thq,0.2,0.16,0.0,0.04,0.4
4854,Wii Sports Club,wiiu,2014.0,sports,nintendo,0.19,0.14,0.04,0.03,0.4
4855,Tomb Raider: Anniversary,x360,2007.0,action,eidos interactive,0.12,0.23,0.0,0.05,0.4
4856,You Don't Know Jack,ps,1999.0,misc,vivendi games,0.22,0.15,0.0,0.03,0.4
4857,Mystery Dungeon: Shiren the Wanderer,snes,1995.0,role-playing,chunsoft,0.0,0.0,0.4,0.0,0.4
4858,Sonic Lost World,wiiu,2013.0,platform,sega,0.24,0.12,0.01,0.03,0.4
4859,Condemned 2: Bloodshot,ps3,2008.0,action,sega,0.17,0.16,0.0,0.07,0.4
4860,Silent Hill: Homecoming,ps3,2009.0,action,konami digital entertainment,0.18,0.15,0.0,0.06,0.4
4861,Star Wars: Clone Wars,gc,2002.0,shooter,activision,0.31,0.08,0.0,0.01,0.4
4862,NBA Live 2002,xb,2001.0,sports,electronic arts,0.35,0.03,0.0,0.02,0.4
4863,Boku no Natsuyasumi,ps,2000.0,adventure,sony computer entertainment,0.0,0.0,0.37,0.03,0.4
4864,Armored Core V,ps3,2012.0,simulation,namco bandai games,0.09,0.04,0.24,0.02,0.4
4865,I-Ninja,ps2,2003.0,platform,sony computer entertainment,0.19,0.15,0.0,0.05,0.4
4866,Command & Conquer,ps,1996.0,strategy,virgin interactive,0.22,0.15,0.0,0.03,0.4
4867,Harvest Moon: Save the Homeland,ps2,2009.0,simulation,unknown,0.19,0.15,0.0,0.05,0.4
4868,NBA Jam,ps3,2010.0,sports,electronic arts,0.22,0.12,0.0,0.06,0.4
4869,Mass Effect 2,pc,2010.0,role-playing,electronic arts,0.01,0.32,0.0,0.07,0.4
4870,SD Gundam G Generation Seed,ps2,2004.0,strategy,namco bandai games,0.0,0.0,0.4,0.0,0.4
4871,Call of Duty: Finest Hour,gc,2004.0,shooter,activision,0.31,0.08,0.0,0.01,0.4
4872,Scooby-Doo! and the Spooky Swamp,ds,2010.0,action,warner bros. interactive entertainment,0.26,0.1,0.0,0.03,0.4
4873,Naruto: Path of the Ninja,ds,2007.0,role-playing,d3publisher,0.37,0.0,0.0,0.03,0.4
4874,Rise of the Tomb Raider,x360,2015.0,adventure,square enix,0.17,0.19,0.0,0.03,0.4
4875,Hitman: Blood Money,x360,2006.0,action,eidos interactive,0.29,0.06,0.01,0.03,0.4
4876,Tales of Phantasia,snes,1995.0,role-playing,namco bandai games,0.0,0.0,0.4,0.0,0.4
4877,Alpha Protocol,x360,2010.0,role-playing,sega,0.23,0.13,0.0,0.04,0.4
4878,Suzuki TT Superbikes,ps2,2005.0,racing,jester interactive,0.33,0.01,0.0,0.05,0.4
4879,Rumble Roses,ps2,2004.0,fighting,konami digital entertainment,0.19,0.15,0.0,0.05,0.39
4880,Just Dance 2014,ps3,2013.0,misc,ubisoft,0.17,0.15,0.0,0.07,0.39
4881,Fantastic Four: Rise of the Silver Surfer,ps2,2007.0,action,take-two interactive,0.19,0.15,0.0,0.05,0.39
4882,Ultimate Spider-Man,xb,2005.0,action,activision,0.26,0.11,0.0,0.02,0.39
4883,GRID 2,ps3,2013.0,racing,codemasters,0.07,0.23,0.01,0.09,0.39
4884,LEGO The Lord of the Rings,3ds,2012.0,action,warner bros. interactive entertainment,0.19,0.17,0.0,0.03,0.39
4885,Juiced 2: Hot Import Nights,ps2,2007.0,racing,thq,0.19,0.15,0.01,0.05,0.39
4886,Skylanders: SuperChargers,ps3,2015.0,action,activision,0.15,0.18,0.0,0.06,0.39
4887,NHL 99,n64,1998.0,sports,electronic arts,0.38,0.01,0.0,0.0,0.39
4888,NBA 2K10,wii,2009.0,sports,take-two interactive,0.36,0.0,0.0,0.03,0.39
4889,Dungeon Siege III,ps3,2011.0,role-playing,square enix,0.17,0.14,0.03,0.06,0.39
4890,Viking: Battle for Asgard,ps3,2008.0,action,sega,0.14,0.18,0.0,0.07,0.39
4891,Brunswick Pro Bowling,wii,2007.0,sports,505 games,0.36,0.01,0.0,0.03,0.39
4892,Monster Jam: Urban Assault,ds,2008.0,racing,activision,0.37,0.0,0.0,0.03,0.39
4893,Danball Senki,psp,2011.0,role-playing,level 5,0.0,0.0,0.39,0.0,0.39
4894,NASCAR Heat,ps,2000.0,racing,hasbro interactive,0.22,0.15,0.0,0.03,0.39
4895,Bloody Roar,ps,1997.0,fighting,virgin interactive,0.22,0.15,0.0,0.03,0.39
4896,Bump 'n' Jump,2600,1982.0,racing,mattel interactive,0.37,0.02,0.0,0.0,0.39
4897,Mobile Suit Gundam: Lost War Chronicles,ps2,2002.0,shooter,namco bandai games,0.0,0.0,0.39,0.0,0.39
4898,Disney's Brother Bear,gba,2003.0,action,thq,0.28,0.1,0.0,0.01,0.39
4899,Naruto: Clash of Ninja Revolution 2,wii,2008.0,fighting,tomy corporation,0.34,0.02,0.0,0.03,0.39
4900,NBA Live 09,ps2,2008.0,sports,electronic arts,0.32,0.01,0.01,0.05,0.39
4901,LEGO Star Wars III: The Clone Wars,psp,2011.0,action,lucasarts,0.14,0.17,0.0,0.09,0.39
4902,The House of The Dead III,xb,2002.0,shooter,sega,0.29,0.08,0.0,0.01,0.39
4903,Rune Factory: Frontier,wii,2008.0,role-playing,rising star games,0.18,0.14,0.04,0.04,0.39
4904,Fire Emblem: Fuuin no Tsurugi,gba,2002.0,role-playing,nintendo,0.0,0.0,0.39,0.0,0.39
4905,SpongeBob's Truth or Square (US sales),psp,2009.0,action,thq,0.39,0.0,0.0,0.0,0.39
4906,FIFA 12,3ds,2011.0,sports,electronic arts,0.08,0.26,0.0,0.05,0.39
4907,Ener-G: Gym Rockets,ds,2008.0,sports,ubisoft,0.36,0.0,0.0,0.03,0.39
4908,The Darkness II,x360,2012.0,shooter,take-two interactive,0.24,0.12,0.0,0.03,0.39
4909,NBA Live 09,psp,2008.0,sports,electronic arts,0.23,0.07,0.03,0.06,0.39
4910,Laser Blast,2600,1981.0,action,activision,0.37,0.02,0.0,0.0,0.39
4911,Dancing with the Stars: We Dance!,ds,2008.0,misc,activision,0.36,0.0,0.0,0.03,0.39
4912,LocoRoco,psp,2006.0,platform,sony computer entertainment,0.14,0.05,0.16,0.04,0.39
4913,Thrasher Presents: Skate and Destroy,ps,1998.0,sports,take-two interactive,0.22,0.15,0.0,0.03,0.39
4914,Are You Smarter than a 5th Grader? Make the Grade,ds,2008.0,misc,thq,0.36,0.0,0.0,0.03,0.39
4915,Donkey Konga 2,gc,2004.0,misc,nintendo,0.3,0.08,0.0,0.01,0.39
4916,Just Dance 2014,ps4,2013.0,misc,ubisoft,0.18,0.16,0.0,0.05,0.39
